date,game_id,home,away,home_score,away_score,stadium,start_time
2025-07-26,GAME20250726HTDB0532,阪神,DeNA,2,0,甲子園,18:01
2025-07-26,GAME20250726HCYG0529,広島,巨人,1,5,マツダスタジアム,18:02
2025-07-27,GAME20250727HCYG0535,広島,巨人,5,6,マツダスタジアム,18:00
2025-07-27,GAME20250727YSCD0534,ヤクルト,中日,3,2,神　宮,18:00
2025-07-27,GAME20250727HTDB0538,阪神,DeNA,7,1,甲子園,18:01
2025-07-29,GAME20250729DBYS0540,DeNA,ヤクルト,1,5,横　浜,17:46
2025-07-29,GAME20250729CDYG0542,中日,巨人,8,5,バンテリンドーム,18:01
2025-07-29,GAME20250729HTHC0544,阪神,広島,1,0,甲子園,18:01
2025-07-30,GAME20250730DBYS0546,DeNA,ヤクルト,1,2,横　浜,17:46
2025-07-30,GAME20250730CDYG0548,中日,巨人,0,2,バンテリンドーム,18:00
2025-07-30,GAME20250730HTHC0550,阪神,広島,5,0,甲子園,18:03
2025-07-31,GAME20250731DBYS0552,DeNA,ヤクルト,14,1,横　浜,17:46
2025-07-31,GAME20250731CDYG0554,中日,巨人,7,6,バンテリンドーム,18:00
2025-07-31,GAME20250731HTHC0556,阪神,広島,3,6,甲子園,18:01
2025-08-01,GAME20250801YGDB0560,巨人,DeNA,2,7,東京ドーム,18:00
2025-08-01,GAME20250801YSHT0559,ヤクルト,阪神,2,3,神　宮,18:00
2025-08-01,GAME20250801HCCD0561,広島,中日,3,1,マツダスタジアム,18:01
2025-08-02,GAME20250802YGDB0566,巨人,DeNA,4,7,東京ドーム,15:02
2025-08-02,GAME20250802YSHT0565,ヤクルト,阪神,1,5,神　宮,18:00
2025-08-02,GAME20250802HCCD0567,広島,中日,0,6,マツダスタジアム,18:01
2025-08-03,GAME20250803YGDB0572,巨人,DeNA,4,3,東京ドーム,14:00
2025-08-03,GAME20250803HCCD0573,広島,中日,2,1,マツダスタジアム,18:00
2025-08-03,GAME20250803YSHT0571,ヤクルト,阪神,8,1,神　宮,18:00
2025-08-05,GAME20250805DBHC0575,DeNA,広島,5,4,横　浜,17:45
2025-08-05,GAME20250805CDHT0577,中日,阪神,2,6,バンテリンドーム,18:00
2025-08-05,GAME20250805YGYS0578,巨人,ヤクルト,5,2,東京ドーム,18:02
2025-08-06,GAME20250806DBHC0581,DeNA,広島,5,8,横　浜,17:45
2025-08-06,GAME20250806CDHT0583,中日,阪神,2,3,バンテリンドーム,18:00
2025-08-06,GAME20250806YGYS0584,巨人,ヤクルト,2,0,東京ドーム,18:00
2025-08-07,GAME20250807DBHC0587,DeNA,広島,9,5,横　浜,17:45
2025-08-07,GAME20250807CDHT0589,中日,阪神,8,3,バンテリンドーム,18:00
2025-08-07,GAME20250807YGYS0590,巨人,ヤクルト,2,3,東京ドーム,18:01
2025-08-08,GAME20250808CDHC0594,中日,広島,2,3,バンテリンドーム,18:00
2025-08-08,GAME20250808DBYG0593,DeNA,巨人,2,12,横　浜,18:00
2025-08-08,GAME20250808HTYS0595,阪神,ヤクルト,1,3,京セラD大阪,18:00
2025-08-09,GAME20250809CDHC0599,中日,広島,2,0,バンテリンドーム,14:00
2025-08-09,GAME20250809HTYS0600,阪神,ヤクルト,6,2,京セラD大阪,18:00
2025-08-09,GAME20250809DBYG0597,DeNA,巨人,3,4,横　浜,18:01
2025-08-10,GAME20250810CDHC0603,中日,広島,5,6,バンテリンドーム,13:30
2025-08-10,GAME20250810HTYS0604,阪神,ヤクルト,5,2,京セラD大阪,18:01
2025-08-11,GAME20250811YGCD0609,巨人,中日,0,2,東京ドーム,14:00
2025-08-11,GAME20250811YSDB0607,ヤクルト,DeNA,9,4,神　宮,18:01
2025-08-12,GAME20250812HCHT0613,広島,阪神,9,2,マツダスタジアム,18:00
2025-08-12,GAME20250812YGCD0612,巨人,中日,5,0,東京ドーム,18:00
2025-08-12,GAME20250812YSDB0611,ヤクルト,DeNA,3,1,神　宮,18:00
2025-08-13,GAME20250813YGCD0616,巨人,中日,3,4,東京ドーム,18:00
2025-08-13,GAME20250813YSDB0615,ヤクルト,DeNA,2,10,神　宮,18:00
2025-08-13,GAME20250813HCHT0617,広島,阪神,0,2,マツダスタジアム,18:01
2025-08-15,GAME20250815CDDB0625,中日,DeNA,3,4,バンテリンドーム,18:00
2025-08-15,GAME20250815YGHT0626,巨人,阪神,6,5,東京ドーム,18:00
2025-08-15,GAME20250815HCYS0627,広島,ヤクルト,1,2,マツダスタジアム,18:01
2025-08-16,GAME20250816CDDB0631,中日,DeNA,0,6,バンテリンドーム,14:02
